index,code,material,en,source,parent_code,single_use,groupname,fr,de,it
0,G708,metal,Batons de ski,Usagers,G199,False,recreation,Batons de ski,Skistöcke,bastoni da sci.
1,G712,cloth,Gants de ski,Usagers,G135,False,recreation,Gants de ski,Skihandschuhe,Guanti da sci.
2,G902,cloth,"Mask medical, cloth",Personal hygiene,G145,False,personal items,"Masque médical, tissu réutilisable","Medizinische Masken, Stoff","Mascherina medica, in tessuto."
3,G917,glass,Terracotta balls,Utility items,G210,False,unclassified,Boules de terre cuite,Blähton,Palle di terracotta.
4,G921,glass,Ceramic tile and pieces,Construction,G204,False,infrastructure,Carreaux et pièces de céramique,Keramikfliesen und Bruchstücke,Piastrelle e pezzi in ceramica.
5,G705,metal,Screws and bolts,Domaine skiable,G197,False,infrastructure,Screws and bolts,Schrauben und Bolzen,Viti e bulloni.
6,G906,metal,coffee capsules aluminum,Packaging,G177,True,food and drink,Capsules de café en aluminium,Kaffeekapseln Aluminium,capsule di caffè in alluminio.
7,G918,metal,"Safety pins, paper clips, small metal utility items",Utility items,G198,False,personal items,"Épingles trombones, petits outils métalliques","Sicherheitsnadeln, Büroklammern, kleine Gebrauchsgegenstände aus Metall","Spilli di sicurezza, fermagli per carta, piccoli oggetti metallici utili."
8,G919,metal,"Nails, screws, bolts etc.",Utility items,G197,False,infrastructure,"Clous, vis, boulons, etc.","Nägel, Schrauben, Bolzen usw. ","Chiodi, viti, bulloni ecc."
9,G929,metal,"Electronics and pieces; sensors, headsets etc.",Utility items,G198,False,personal items,"Électronique et pièces ; capteurs, écouteurs","Elektronik und Teile; Sensoren, Headsets usw. ",n
10,G945,metal,Razor blades,Personal hygiene,G198,True,personal items,Lames de rasoir,Rasierklingen,Lame da rasoio.
11,G923,paper,"Tissue, toilet paper, napkins, paper towels",Personal hygiene,G158,False,personal items,"Mouchoirs en papier, papier toilette, serviettes de table","Taschentücher, Toilettenpapier, Servietten, Papierhandtücher","Fazzoletti, carta igienica, tovaglioli, asciugamani di carta."
12,G21,plastic,Drink lids,Packaging,Gcaps,False,food and drink,Couvercles de bouteilles,"Getränke-Deckel, Getränkeverschluss",Coperchi per bevande.
13,G22,plastic,"Lids for chemicals, detergents (non-food)",Packaging,Gcaps,False,infrastructure,Couvercles pour produits  non alimentaires,"Deckel für Chemikalien, Reinigungsmittel (Ohne Lebensmittel)","Coperchi per prodotti chimici, detergenti (non alimentari)"
14,G23,plastic,Lids unidentified,Packaging,Gcaps,False,packaging non food,Couvercles non identifiés,unidentifizierte Deckel,Coperchi non identificati.
15,G24,plastic,Lid/cap rings from plastic bottles/containers,Packaging,Gcaps,True,food and drink,Anneaux de fermeture de récipients en plastique,Ringe von Plastikflaschen/Behältern,Anelli di coperchio/tappo da bottiglie/contenitori di plastica.
16,G700,plastic,The results from a clean up event,undefined,G700,True,unclassified,Les résultats d'un événement,Die Ergebnisse einer Aufräumaktion,I risultati di un evento di pulizia.
17,G703,plastic,piquet de ballisage,domaine skiable,G124,False,infrastructure,Piquet de ballisage en plastique,Pistenmarkierungspfosten (Plastik),paletto di segnalazione.
18,G704,plastic,Brosse de télésiège,Domaine skiable,G124,True,infrastructure,Brosse de télésiège,seilbahnbürsten,Spazzola per seggiovia.
19,G706,plastic,Abonnement de ski,Usagers,G124,False,recreation,Abonnement de ski,Skiabonnement,Abbonamento sci.
20,G707,plastic,étiquette d’équipement de ski,Usagers,G124,False,recreation,"Déchets divers (bois travaillé, pièces métalliques)",Skiausrüstungsetikett,etichetta dell'attrezzatura da sci.
21,G709,plastic,"Batons de ski parties (rondelles, attaches)",Usagers,G124,False,recreation,"Batons de ski parties (rondelles, attaches)",Teller von Skistock (runder Teil aus Plastik unten am Skistock),"Bastoni da sci parti (dischi, attacchi)."
22,G710,plastic,"Ski / Snowboards (ski, fixations et autres pièces)",Usagers,G79,False,recreation,"Ski / Snowboards (ski, fixations et autres pièces)","Ski / Snowboards (Ski, Befestigungen und andere Teile)",n
23,G711,plastic,Chaufferette,Usagers,G124,True,recreation,Chaufferette,Handwärmer ,scaldino
24,G713,plastic,Carpet from ski lift,Domaine skiable,G124,False,infrastructure,Carpet from ski lift,Skiförderband,Tappeto dalla seggiovia.
25,G75,plastic,Plastic/polystyrene pcs 0.5 - 2.5 cm,Undefined,Gfrags,False,plastic pieces,Plastique/polystyrène pièces 0 - 2.5 cm,"Objekte aus Kunststoff/Polystyrol 0,5 - 2,5 cm",n
26,G76,plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,Gfrags,False,plastic pieces,"Plastique/polystyrène expansé 2,5 > < 50","Objekte aus Kunststoff/Polystyrol 2,5 - 50 cm","Polistirene plastico/espanso 2,5 > < 50."
27,G78,plastic,Plastic pieces 0.5cm - 2.5cm,Undefined,Gfrags,False,plastic pieces,Plastiques fragmentés .5mm < x < 25mm,"Objekte aus Kunststoff 0,5 - 2,5 cm","Pezzi di plastica 0,5 cm - 2,5 cm"
28,G79,plastic,Plastic pieces 2.5cm - 50cm,Undefined,Gfrags,False,plastic pieces,Plastiques fragmentés x > 25mm,"Objekte aus Kunststoff 2,5 - 50 cm","Pezzetti di plastica 2,5 cm - 50 cm"
29,G80,plastic,Plastic pieces > 50cm,Undefined,Gfrags,False,plastic pieces,Pièces en plastique > 50cm,Objekte aus Kunststoff > 50 cm,Pezzi di plastica > 50 cm
30,G81,plastic,Foamed polystyrene pieces 0.5cm - 2.5cm,Packaging,Gfoams,False,infrastructure,"Fragments de polystyrène expansé 0,5cm > < 2,5cm","Objekte aus expandiertem Polystyrol 0,5 - 2,5 cm",n
31,G82,plastic,Foam polystyrene  2.5 - 50cm,Undefined,Gfoams,False,infrastructure,"Mousse de polystyrène expansé 2,5cm > <50cm","Objekte aus expandiertem Polystyrol 2,5 - 50 cm","Polistirene espanso 2,5 - 50 cm"
32,G83,plastic,Polystyrene pieces > 50cm,Undefined,Gfoams,False,infrastructure,Pièces en polystyrène > 50cm,Objekte aus expandiertem Polystyrol > 50 cm,n
33,G901,plastic,"Mask medical, synthetic",Personal hygiene,G124,True,personal items,"Masque médical, synthétique","Medizinische Masken, synthetische","Maschera medica, sintetica."
34,G903,plastic,Hand sanitizer containers & packets,Personal hygiene,G12,True,personal items,Récipients et sachets de désinfectant pour les mains,Behälter und Packungen für Handdesinfektionsmittel,Contenitori e bustine di disinfettante per mani.
35,G904,plastic,"Fireworks; rocket caps, exploded parts & packaging",Recreation,G124,True,recreation,"Feux d'artifice; capsules de fusées, pièces explosées",Feuerwerkskörper; Raketenkappen,"Fuochi d'artificio; tappi per razzi, parti esplose e imballaggio."
36,G905,plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,G124,False,personal items,"Pince à cheveux, accessoires personnels","Haarspangen, Haargummis, persönliche Accessoires aus Kunststoff","Fermaglio per capelli, elastici per capelli, accessori personali in plastica."
37,G907,plastic,coffee capsules plastic,Undefined,G124,True,food and drink,Capsules de café en plastique,Kaffeekapseln aus Kunststoff,capsule di caffè in plastica.
38,G908,plastic,"Tape; electrical, insulating",Construction,G124,False,infrastructure,"Ruban ; électrique, isolant","Klebeband; elektrisch, isolierend","Nastro; elettrico, isolante."
39,G913,plastic,Pacifier,Personal hygiene,G124,False,personal items,Tétine pour bébé,Schnuller,ciuccio.
40,G914,plastic,"Paperclips, clothespins, plastic utility items",Utility items,G124,False,personal items,"Trombones, épingles à linge, articles utilitaires en plastique","Büroklammern, Wäscheklammern, Gebrauchsgegenstände aus Kunststoff","Fermagli per carta, mollette, articoli di plastica utilitari."
41,G915,plastic,"Reflectors, plastic mobility items",Utility items,G124,False,personal items,"Réflecteurs, articles de mobilité en plastique","Reflektoren, Mobilitätsartikel aus Kunststoff","Riflettori, articoli di mobilità in plastica."
42,G922,plastic,"Labels, bar codes",Packaging,G124,True,packaging non food,"Étiquettes, codes à barres","Etiketten, Strichcodes","Etichette, codici a barre"
43,G925,plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,G124,True,packaging non food,Déshydratants/absorbants d'humidité,"Pakete: Trockenmittel/Feuchtigkeitsabsorber, mit Silicagel (Kieselgel) gefüllte Kunststoffbehälter",n
44,G926,plastic,"Chewing gum, often contains plastics",Undefined,G124,True,food and drink,Du chewing-gum,"Kaugummi, enthält oft Kunststoffe",Il chewing gum contiene spesso plastica.
45,G927,plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,G124,True,infrastructure,Ligne de débrousailleuse,"Plastikschnur von Rasentrimmern, die zum Schneiden von Gras, Unkraut und Sträuchern verwendet werden",n
46,G928,plastic,Ribbons and bows,Recreation,G124,True,personal items,Rubans et boucles,Bänder und Schleifen,Nastrini e fiocchi.
47,G930,plastic,Foam earplugs,Personal hygiene,G124,True,personal items,Bouchons d'oreille en mousse,Schaumstoff-Ohrstöpsel,tappi per le orecchie in schiuma.
48,G931,plastic,"Tape-caution for barrier, police, construction etc.",Utility items,G124,True,infrastructure,"Ruban pour barrière, police, construction","(Absperr)band für Absperrungen, Polizei, Baustellen usw.","Nastro di avviso per barriere, polizia, costruzione, ecc."
49,G932,plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,G91,False,waste water,"Bio-perles, micro plastique pour les eaux usées","Bio-Beads, Mikroplastik für die Abwasserbehandlung, unregelmässige Form, geriffelte Seiten < 5mm",n
50,G933,plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,G124,False,personal items,"Sacs, étuis pour accessoires; lunettes, électronique","Taschen, Etuis für Zubehör, Brillen, Elektronik, inkl. Gurte, Stücke, Nylon etc.",n
51,G934,plastic,"Sandbag, plastic for flood, erosion control etc..",Construction,G124,True,agriculture,"Sacs de sable, en plastique, pour le contrôle de l'érosion","Sandsäcke, Kunststoff für Hochwasser- und Erosionsschutz etc.","Sacco di sabbia, plastica per inondazioni, controllo dell'erosione, ecc."
52,G935,plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,G124,False,personal items,"Tampons et pièces pour bâtons de marche, souvent en élastomère","Gummi-Puffer für Geh- und Wanderstöcke und Teile, oft aus Elastomermaterial","Pattini e pezzi per bastoni da passeggio, spesso in materiale elastomerico."
53,G936,plastic,Sheeting ag. greenhouse film,Agriculture,G67,False,agriculture,Film sur les serres,Folien für Gewächshäuser,Pellicola agricola per serre
54,G937,plastic,Pheromone baits for vineyards,Agriculture,G124,False,agriculture,Appâts à phéromones pour les vignobles,Pheromonköder für Weinberge,Esche a feromoni per vigneti.
55,G938,plastic,"Toothpicks, dental floss plastic",Personal hygiene,G124,True,food and drink,"Cure-dents, fil dentaire en plastique","Zahnstocher, Zahnseide Kunststoff","Stuzzicadenti, filo interdentale di plastica."
56,G939,plastic,"Flowers, plants plastic",Undefined,G124,False,personal items,"Fleurs, plantes en plastique","Kunststoffblumen, Kunststoffpflanzen","Fiori, piante di plastica"
57,G940,plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,G73,False,recreation,Mousse EVA pour les sports nautiques,Schaumstoff EVA (flexibler Kunststoff),n
58,G941,plastic,Packaging films nonfood or unknown,Packaging,G124,True,packaging non food,Emballage plastique non alimentaire,"Verpackungsfolien, nicht für Lebensmittel",Film di imballaggio non alimentari o sconosciuti.
59,G942,plastic,"Plastic shavings from lathes, CNC machining",Industry,G124,False,unclassified,Copeaux de plastique provenant de l'usinage,"Kunststoffspäne von Drehbänken, CNC-Bearbeitung","Trucioli di plastica da torni, lavorazione CNC."
60,G943,plastic,"Fencing agriculture, plastic",Agriculture,G124,False,agriculture,"Clôturer l'agriculture, plastique","Zäune Landwirtschaft, Kunststoff","Recinzione agricola, plastica."
61,G944,plastic,Pellet mass from injection molding,Industry,G112,True,unclassified,Masse de granulés provenant du moulage par injection,Pelletmasse aus dem Spritzgussverfahren,Massa di pellet da stampaggio a iniezione.
62,G900,rubber,Gloves latex  personal protective equipment,Personal hygiene,G134,True,personal items,Gants latex de protection individuelle,"Handschuhe Latex, persönliche Schutzausrüstung",n
63,G702,wood,piquet de ballisage,domaine skiable,G173,True,infrastructure,Piquet de ballisage en bois,Pistenmarkierungspfosten (Holz),picchetto di segnalazione.
64,G916,wood,Pencils and pieces,Utility items,G170,False,personal items,Crayons et morceaux,Bleistifte und Bruchstücke,Matite e pezzi.
65,G212,chemicals,Oil nodules or coal fragments -- not from a BBQ,Undefined,G212,False,unclassified,Nodules de petrol,Ölknollen oder Kohlefragmente - nicht von einem BBQ,Noduli di olio o frammenti di carbone -- non da un barbecue.
66,G213,chemicals,Paraffin wax,Undefined,G213,False,recreation,Paraffine,Paraffinwachs ,n
67,G214,chemicals,Oil/tar,Construction,G214,False,infrastructure,Goudron,Öl/Teer,Olio/pece.
68,G135,cloth,"Clothes, footware, headware, gloves",Clothing,G135,False,personal items,"Vêtements, chaussures, chapeaux et gants","Kleidung, Fussbekleidung, Kopfbedeckung, Handschuhe","Clothes, footwear, headwear, gloves"
69,G136,cloth,Shoes,Clothing,G136,False,personal items,Chaussures,Schuhe,scarpe.
70,G137,cloth,"Clothing, towels & rags",Clothing,G137,False,personal items,Serviettes et chiffons,"Kleidung, Handtücher und Lappen","Abbigliamento, asciugamani e stracci."
71,G138,cloth,Shoes and sandals,Clothing,G138,False,personal items,Chaussures et sandales,Schuhe und Sandalen,Scarpe e sandali.
72,G139,cloth,Backpacks,Utility items,G139,False,personal items,Sacs à dos,Rucksäcke,Zaini
73,G140,cloth,"Bags, burlap, hessian, jute or hemp",Packaging,G140,False,agriculture,"Sacs, jute ou chanvre","Sack oder Beutel (Tragetasche), Jute oder Hanf","Borse, juta, tessuto di juta, juta o canapa."
74,G141,cloth,Carpet,Utility items,G141,False,unclassified,Tapis,Teppiche,Tappeto.
75,G142,cloth,"Rope , string or nets",Utility items,G142,False,recreation,"Corde, pas de plastique","Seil, Schnur oder Netze","Corda, spago o reti."
76,G143,cloth,Sails and canvas,Utility items,G143,False,recreation,Voiles et toiles,Segel und Segeltuch,Vele e tela.
77,G144,cloth,Tampons,Personal hygiene,G144,False,waste water,Tampons,Tampons,Assorbenti
78,G145,cloth,Other textiles,Undefined,G145,False,personal items,Autres textiles,Andere Textilien,Altri tessuti.
79,G200,glass,"Glass drink bottles, pieces",Packaging,G200,True,food and drink,Verre brisé," Getränkeflaschen aus Glas, Glasfragmente","Bottiglie di vetro per bevande, pezzi."
80,G201,glass,"Jars, includes pieces",Packaging,G201,False,food and drink,"Pots, verre ou poterie et pièces","Gläser, einschliesslich Stücke","Barattoli, include pezzi."
81,G202,glass,Light bulbs,Utility items,G202,False,unclassified,Ampoules électriques,Glühbirnen,lampadine.
82,G203,glass,"Tableware ceramic or glass, cups, plates, pieces",Food,G203,False,food and drink,Vaisselle en céramique ou verre,"Geschirr aus Keramik oder Glas, Tassen, Teller, Stücke","Stoviglie in ceramica o vetro, tazze, piatti, pezzi."
83,G204,glass,"Construction material; bricks, pipes, cement",Construction,G204,False,infrastructure,"Matériaux de construction ; briques, tuyaux, ciment","Baumaterial;  Ziegel, Rohre, Zement",n
84,G205,glass,Fluorescent light tubes,Utility items,G205,False,unclassified,Tubes fluorescents,Leuchtstoffröhren,Tubi fluorescenti.
85,G206,glass,Glass buoys,Fishing,G206,False,recreation,Bouées en verre,Glasboje,boe di vetro.
86,G207,glass,Octopus pots,Fishing,G207,False,unclassified,Pots à poulpe,Tonkrüge zum Fangen von Kraken,Pentole per polpi.
87,G208,glass,Glass or ceramic fragments > 2.5 cm,Undefined,G208,False,unclassified,"Fragments de verre ou de céramique > 2,5 cm",Glas oder Keramikfragmente >2.5 cm,"Frammenti di vetro o ceramica > 2,5 cm"
88,G209,glass,Large glass objects,Undefined,G209,False,unclassified,Grands objets en verre,Grosse Gegenstände aus Glas,Grandi oggetti di vetro.
89,G210,glass,Other glass/ceramic,Undefined,G210,False,unclassified,Autre verre/céramique,Sonstiges Glas/Keramik Materialien,Altri vetro/ceramica.
90,G174,metal,Aerosol spray cans,Packaging,G174,False,infrastructure,Bombes aérosols,Aerosolspraydosen,Bombole aerosol.
91,G175,metal,"Cans, beverage",Packaging,G175,True,food and drink,"Boîtes de conserve, boissons","Getränkedosen (Dosen, Getränke)","Lattine, bevande."
92,G176,metal,"Cans, food",Packaging,G176,True,food and drink,Boîtes de conserve,Konservendosen (Lebensmitteldosen),"Lattine, cibo."
93,G177,metal,"Foil wrappers, aluminum foil",Packaging,G177,False,food and drink,Papier d'emballage d'aluminium,Verpackungen aus Aluminiumfolie,"Involucri di alluminio, foglio di alluminio."
94,G178,metal,"Metal bottle caps, lids & pull tabs from cans",Packaging,G178,True,food and drink,"Bouchons de bouteilles en métal, couvercles et tirettes","Kronkorken, Lasche von Dose/Ausfreisslachen","Tappi di metallo per bottiglie, coperchi e linguette delle lattine."
95,G179,metal,Disposable BBQs,Recreation,G179,False,food and drink,Barbecues jetables,Einweg Grill,BBQ usa e getta.
96,G180,metal,Appliances,Utility items,G180,False,unclassified,Appareils ménagers,Haushaltsgeräte,Elettrodomestici.
97,G181,metal,"Tableware metal;  cups, cutlery etc.",Food,G181,False,food and drink,"Vaisselle en métal; tasses, couverts","Geschirr aus Metall, Tassen, Besteck usw.","Stoviglie metalliche; tazze, posate ecc."
98,G182,metal,"Fishing; hooks, weights, lures, sinkers etc.",Fishing,G182,False,recreation,"Hameçons, poids, leurres, plombs","Angeln; Haken, Gewichte, Köder, Senkblei, usw.","Pesca; ganci, pesi, esche, piombi ecc."
99,G183,metal,Fish hook remains,Fishing,G183,False,recreation,Restes d'hameçons,Teile von Angelhaken,Resti di amo da pesca.
100,G184,metal,Lobster pots,Fishing,G184,False,unclassified,Casiers à homards,Hummerfangkörbe,Gabbie per aragoste.
101,G185,metal,Middle size containers,Utility items,G185,False,unclassified,Conteneurs de taille moyenne,Behälter mittlerer Grösse,Contenitori di dimensioni medie.
102,G186,metal,Industrial scrap,Undefined,G186,False,infrastructure,Débris industriels,Industrieschrott,Rottame industriale.
103,G187,metal,Drums,Packaging,G187,False,infrastructure,Tonneaux,Fässer,batteria.
104,G188,metal,Other cans < 4 L,Packaging,G188,False,infrastructure,Autres bidons < 4 L,Andere Kanister/Behälter < 4 L,Altre lattine < 4 L
105,G189,metal,"Gas bottles, drums and buckets > 4 L",Packaging,G189,False,infrastructure,"Bouteilles, fûts et seaux à gaz > 4L","Gasflaschen, Fässer und Eimer > 4 L","Bombole di gas, fusti e secchi > 4 L"
106,G190,metal,Paint cans,Packaging,G190,False,infrastructure,Bidons de peinture,"Farbtöpfe, Farbbüchsen,  ( Farbeimer)",barattoli di vernice.
107,G191,metal,Wire and mesh,Utility items,G191,False,agriculture,Fils et grillages,Draht und Gitter,Filo e rete.
108,G192,metal,Barrels,Undefined,G192,False,agriculture,Tonneau de pétrole,Fässer,Barili.
109,G193,metal,car parts and batteries,Vehicle,G193,False,unclassified,Pièces automobiles et batteries,Teile von Autos und Autobatterien,Parti di auto e batterie.
110,G194,metal,"Cables, metal wire(s) often inside rubber or plastic tubes",Construction,G194,False,infrastructure,"Câbles, fil métallique","Kabel, Metalldraht oft in Gummi- oder Kunststoffschläuchen",n
111,G195,metal,Batteries - household,Utility items,G195,False,personal items,Batteries domestiques,Batterien (Haushalt),Batterie - domestiche.
112,G196,metal,Large metallic objects,Undefined,G196,False,unclassified,Grands objets métalliques,Grosse metallische Gegenstände,Grandi oggetti metallici.
113,G197,metal,Other metal,Undefined,G197,False,infrastructure,Autre métal,sonstiges Metall,Altro metallo.
114,G198,metal,Other metal pieces < 50cm,Undefined,G198,False,infrastructure,Autres pièces métalliques < 50cm,Andere Metallteile < 50 cm,Altri pezzi di metallo < 50 cm
115,G199,metal,Other metal pieces > 50cm,Undefined,G199,False,infrastructure,Autres pièces métalliques > 50cm,Andere Metallteile > 50 cm,Altri pezzi di metallo > 50 cm
116,G146,paper,"Paper, cardboard",Undefined,G146,False,packaging non food,"Papier, carton","Papier, Karton","Carta, cartone."
117,G147,paper,Paper bags,Packaging,G147,False,packaging non food,Sacs en papier,"Papiertragetaschen, (Papiertüten)",Sacchetti di carta.
118,G148,paper,Cardboard (boxes and fragments),Packaging,G148,False,packaging non food,Boîtes en carton,Kartonkisten und Stücke,Cartone (scatole e frammenti)
119,G149,paper,Paper packaging,Packaging,G149,False,packaging non food,Emballage en papier,Papierverpackungen,Imballaggio di carta.
120,G150,paper,"Milk cartons, tetrapack",Packaging,G150,False,food and drink,"Carton de lait, tetrapack","Milchkartons, Tetrapack","Scatole di latte, tetrapak"
121,G151,paper,"Cartons, Tetrapacks",Packaging,G151,False,food and drink,"Cartons, Tetrapacks","Tetrapack, Kartons","Cartoni, Tetrapak."
122,G152,paper,"Cigarette boxes, tobacco related paper/cardboard",Tobacco,G152,False,tobacco,"Boîtes à cigarettes, papier/carton","Papier &Karton;Zigarettenschachteln, Papier/Karton Verpackung für Tabakwaren","Scatole di sigarette, carta/cartone relativo al tabacco."
123,G153,paper,"Cups, food containers, wrappers (paper)",Packaging,G153,True,food and drink,Gobelets en papier et récipients alimentaires,"Papierbecher, Lebensmittelverpackungen aus Papier/ Karton",n
124,G154,paper,Newspapers or magazines,Utility items,G154,False,personal items,Journaux ou magazines,Zeitungen oder Zeitschriften,Giornali o riviste.
125,G155,paper,Fireworks paper tubes and fragments,Recreation,G155,False,recreation,Tubes et fragments de papier: feux d'artifice,Feuerwerkspapierhülsen und -fragmente,Tubi di carta per fuochi d'artificio e frammenti
126,G156,paper,Paper fragments,Undefined,G156,False,packaging non food,Fragments de papier,Papierfragmente,frammenti di carta.
127,G157,paper,Paper,Undefined,G157,False,packaging non food,Papier,Papier,carta.
128,G158,paper,Other paper items,Undefined,G158,False,packaging non food,Autres articles en papier,Sonstige Gegenstände aus Papier,Altri articoli di carta.
129,G1,plastic,Six pack rings,Packaging,G1,True,food and drink,Anneaux pour six packs,Sixpack-Ringe,anelli per sei confezioni.
