location,buildings,wetlands,forest,public-services,recreation,undefined,streets,vineyards,cliffs,city-center,orchards,boulders
aabach,0.223,0.108,0.372,0.008,0.011,0.298,9096.446,0.0,0.0,0.0,0.0,0.0
anarchy-beach,1.0,0.0,0.0,0.079,0.02,0.0,5526.409,0.0,0.0,0.0,0.0,0.0
arabie,0.914,0.0,0.0,0.132,0.015,0.016,17114.587,0.07,0.0,0.0,0.0,0.0
ascona-traghetto-spiaggia,0.701,0.0,0.178,0.028,0.075,0.1,12206.68,0.0,0.021,0.0,0.0,0.0
augustmutzenbergstrandweg,0.682,0.0,0.153,0.044,0.005,0.149,8185.826,0.015,0.0,0.0,0.0,0.0
baby-plage-geneva,0.876,0.0,0.0,0.171,0.041,0.017,24113.962,0.0,0.0,0.106,0.0,0.0
baby-plage-ii-geneve,0.906,0.0,0.0,0.17,0.042,0.018,22989.104,0.0,0.0,0.076,0.0,0.0
bain-des-dames,0.999,0.0,0.0,0.069,0.016,0.0,8672.929,0.001,0.0,0.0,0.0,0.0
baye-de-clarens,0.933,0.0,0.0,0.125,0.008,0.026,9376.782,0.041,0.0,0.0,0.0,0.0
baye-de-montreux-d,0.712,0.0,0.118,0.035,0.001,0.17,13728.871,0.0,0.0,0.0,0.0,0.0
baye-de-montreux-g,0.712,0.0,0.119,0.034,0.001,0.169,13664.686,0.0,0.0,0.0,0.0,0.0
bielersee_vinelz_fankhausers,0.309,0.022,0.107,0.061,0.025,0.541,11015.056,0.02,0.0,0.0,0.0,0.0
bodensee_altenrhein_caluoria,0.421,0.076,0.02,0.036,0.012,0.461,10451.7,0.0,0.0,0.0,0.023,0.0
bodensee_arbon_moslis,0.808,0.0,0.0,0.048,0.06,0.192,11147.215,0.0,0.0,0.0,0.0,0.0
bodensee_horn_huberm,0.627,0.0,0.007,0.095,0.019,0.161,7938.264,0.0,0.0,0.0,0.205,0.0
bodensee_steinach_dolder_a,0.754,0.0,0.0,0.094,0.039,0.148,15392.652,0.0,0.0,0.0,0.098,0.0
bodensee_thal_schlachterj_1,0.416,0.073,0.025,0.037,0.013,0.465,10611.512,0.0,0.0,0.0,0.021,0.0
boiron,0.362,0.0,0.044,0.126,0.0,0.393,8951.857,0.087,0.0,0.0,0.114,0.0
camp-des-peches,0.32,0.0,0.106,0.127,0.022,0.481,13802.64,0.093,0.0,0.0,0.0,0.0
camping-gwatt-strand,0.792,0.0,0.127,0.037,0.037,0.081,6444.894,0.0,0.0,0.0,0.0,0.0
caprino,0.025,0.0,0.816,0.002,0.0,0.04,4057.042,0.0,0.119,0.0,0.0,0.0
cully-plage,0.203,0.0,0.07,0.467,0.003,0.236,14088.436,0.481,0.0,0.0,0.01,0.0
delta-park,0.591,0.0,0.22,0.024,0.005,0.189,9478.526,0.0,0.0,0.0,0.0,0.0
erlach-camping-strand,0.28,0.047,0.193,0.07,0.04,0.445,7065.882,0.035,0.0,0.0,0.0,0.0
evole-plage,0.785,0.0,0.153,0.056,0.006,0.016,20957.9,0.0,0.0,0.045,0.0,0.0
flibach-river-right-bank,0.201,0.0,0.386,0.02,0.016,0.391,14826.827,0.0,0.022,0.0,0.0,0.0
gals-reserve,0.216,0.004,0.291,0.051,0.032,0.464,9498.535,0.025,0.0,0.0,0.0,0.0
gasi-strand,0.214,0.0,0.407,0.019,0.025,0.368,14284.562,0.0,0.012,0.0,0.0,0.0
gerra-gambarogno,0.197,0.0,0.67,0.001,0.0,0.114,9743.652,0.0,0.019,0.0,0.0,0.0
grand-clos,0.268,0.0,0.504,0.012,0.031,0.228,5723.498,0.0,0.0,0.0,0.0,0.0
greifensee_fallanden_meistery,0.232,0.059,0.286,0.015,0.004,0.423,4836.985,0.0,0.0,0.0,0.0,0.0
greifensee_fallanden_simmenc,0.209,0.039,0.293,0.015,0.005,0.459,5461.71,0.0,0.0,0.0,0.0,0.0
greifensee_greifensee_simmenc,0.505,0.05,0.044,0.036,0.013,0.4,5829.35,0.0,0.0,0.0,0.0,0.0
greifensee_maur_simmenc,0.081,0.037,0.178,0.012,0.006,0.685,5643.691,0.0,0.0,0.0,0.019,0.0
greifensee_uster_fischerb_-2,0.363,0.0,0.116,0.033,0.011,0.513,6767.669,0.0,0.0,0.0,0.001,0.0
greifensee_uster_fischerb_1,0.357,0.011,0.114,0.029,0.01,0.511,7790.593,0.0,0.0,0.0,0.0,0.0
gummligrabbe,0.045,0.07,0.354,0.012,0.0,0.525,11672.112,0.0,0.007,0.0,0.0,0.0
hafeli,0.406,0.0,0.255,0.011,0.008,0.325,12795.927,0.0,0.0,0.0,0.0,0.0
hauterive-petite-plage,0.467,0.0,0.133,0.081,0.011,0.092,13246.369,0.011,0.0,0.0,0.0,0.0
impromptu_cudrefin,0.245,0.089,0.118,0.007,0.027,0.548,9182.961,0.0,0.0,0.0,0.0,0.0
isole-di-brissago-porto,0.517,0.0,0.277,0.026,0.0,0.206,4378.26,0.0,0.0,0.0,0.0,0.0
jardin-botanique,1.0,0.0,0.0,0.206,0.014,0.0,14158.332,0.0,0.0,0.0,0.0,0.0
katzensee_regensdorfzuerichaffoltern_stueberj,0.207,0.057,0.18,0.024,0.004,0.538,17061.343,0.0,0.0,0.0,0.0,0.0
la-morges,0.908,0.0,0.0,0.059,0.035,0.074,13740.951,0.005,0.0,0.0,0.014,0.0
la-pecherie,0.107,0.0,0.097,0.291,0.001,0.462,7632.345,0.163,0.0,0.0,0.172,0.0
la-petite-plage,0.67,0.08,0.122,0.087,0.067,0.119,12400.649,0.0,0.0,0.0,0.009,0.0
lacleman_gland_kubela,0.057,0.0,0.356,0.011,0.125,0.587,7791.464,0.0,0.0,0.0,0.0,0.0
lacleman_gland_lecoanets,0.055,0.0,0.357,0.011,0.125,0.588,7766.312,0.0,0.0,0.0,0.0,0.0
lacleman_vidy_santie,0.925,0.0,0.035,0.307,0.06,0.04,21283.138,0.0,0.0,0.0,0.0,0.0
le-pierrier,0.934,0.0,0.0,0.125,0.008,0.025,9350.025,0.041,0.0,0.0,0.0,0.0
le-port,1.0,0.0,0.0,0.059,0.013,0.0,9767.019,0.0,0.0,0.0,0.0,0.0
lido,0.975,0.0,0.0,0.078,0.012,0.0,20225.64,0.0,0.0,0.024,0.0,0.0
ligerz-strand,0.14,0.0,0.308,0.188,0.014,0.297,8433.083,0.192,0.064,0.0,0.0,0.0
lugano-centro,0.977,0.0,0.0,0.088,0.009,0.004,22627.297,0.0,0.0,0.019,0.0,0.0
luscherz-plage,0.167,0.0,0.559,0.038,0.002,0.133,6394.486,0.0,0.0,0.0,0.14,0.0
luscherz-two,0.151,0.0,0.584,0.035,0.002,0.136,6514.02,0.0,0.0,0.0,0.129,0.0
magadino-lido,0.224,0.137,0.419,0.005,0.001,0.207,5982.919,0.0,0.023,0.0,0.0,0.0
maladaire,0.835,0.0,0.0,0.136,0.012,0.01,9427.527,0.155,0.0,0.0,0.0,0.0
mannewil,0.033,0.0,0.471,0.02,0.0,0.496,15470.865,0.0,0.0,0.0,0.0,0.0
mols-rocks,0.138,0.0,0.435,0.013,0.006,0.39,9317.694,0.0,0.037,0.0,0.0,0.0
muhlehorn-dorf,0.048,0.0,0.431,0.0,0.0,0.522,20815.166,0.0,0.0,0.0,0.0,0.0
mullermatte,0.49,0.0,0.381,0.043,0.032,0.109,13526.506,0.0,0.0,0.02,0.0,0.0
murg-bad,0.103,0.0,0.407,0.003,0.004,0.489,14276.656,0.0,0.001,0.0,0.0,0.0
neuenburgersee_cudrefin_mattera,0.275,0.07,0.102,0.007,0.026,0.554,9296.335,0.0,0.0,0.0,0.0,0.0
nidau-strand,0.716,0.0,0.142,0.054,0.035,0.134,16817.146,0.0,0.0,0.009,0.0,0.0
nouvelle-plage,0.507,0.085,0.11,0.028,0.024,0.298,7985.849,0.0,0.0,0.0,0.0,0.0
oben-am-see,0.268,0.0,0.271,0.012,0.006,0.418,14833.494,0.0,0.042,0.0,0.0,0.0
oyonne,0.989,0.0,0.0,0.061,0.015,0.001,12549.374,0.011,0.0,0.0,0.0,0.0
pacha-mama-gerra,0.209,0.0,0.663,0.001,0.0,0.106,9070.134,0.0,0.022,0.0,0.0,0.0
parc-des-pierrettes,0.945,0.0,0.041,0.38,0.044,0.014,14703.579,0.0,0.0,0.0,0.0,0.0
pecos-plage,0.351,0.029,0.075,0.035,0.012,0.574,11240.299,0.0,0.0,0.0,0.0,0.0
pfafikon-bad,0.576,0.121,0.083,0.045,0.011,0.219,8558.873,0.0,0.0,0.0,0.0,0.0
pierrier-sud,0.936,0.0,0.0,0.11,0.007,0.033,10546.92,0.031,0.0,0.0,0.0,0.0
plage-de-cheyres,0.267,0.123,0.321,0.037,0.032,0.307,9348.041,0.0,0.0,0.0,0.0,0.0
plage-de-dorigny,0.924,0.0,0.036,0.353,0.067,0.041,18012.746,0.0,0.0,0.0,0.0,0.0
plage-de-serriere,0.81,0.0,0.147,0.044,0.008,0.0,17164.796,0.005,0.0,0.038,0.0,0.0
plage-de-st-sulpice,0.962,0.0,0.033,0.334,0.043,0.005,10828.183,0.0,0.0,0.0,0.0,0.0
pointe-dareuse,0.232,0.0,0.097,0.044,0.001,0.629,2694.153,0.003,0.0,0.0,0.038,0.0
preverenges,0.756,0.0,0.053,0.098,0.016,0.107,14749.641,0.02,0.0,0.0,0.064,0.0
preverenges-le-sout,0.772,0.0,0.083,0.097,0.021,0.043,12730.283,0.025,0.0,0.0,0.077,0.0
quai-maria-belgia,0.984,0.0,0.0,0.098,0.015,0.0,13894.013,0.016,0.0,0.0,0.0,0.0
rastplatz-stampf,0.654,0.092,0.0,0.06,0.069,0.206,4289.287,0.0,0.0,0.0,0.048,0.0
rivapiana,0.974,0.0,0.026,0.043,0.025,0.0,17871.803,0.0,0.0,0.0,0.0,0.0
rocky-plage,0.924,0.0,0.0,0.172,0.043,0.019,22232.883,0.0,0.0,0.057,0.0,0.0
rolle-plage,0.622,0.0,0.0,0.352,0.013,0.064,14990.656,0.314,0.0,0.0,0.0,0.0
ruisseau-de-la-croix-plage,0.245,0.086,0.359,0.032,0.033,0.33,7571.077,0.0,0.0,0.0,0.0,0.0
saint-sulpice,0.811,0.0,0.089,0.068,0.02,0.023,12887.633,0.023,0.0,0.0,0.055,0.0
san-nazzaro-gambarogno,0.415,0.0,0.527,0.007,0.001,0.031,13295.943,0.0,0.027,0.0,0.0,0.0
schmerikon-bahnhof-strand,0.213,0.095,0.225,0.007,0.01,0.467,12884.725,0.0,0.0,0.0,0.0,0.0
seeflechsen,0.198,0.0,0.313,0.018,0.015,0.478,14883.391,0.0,0.011,0.0,0.0,0.0
seemuhlestrasse-strand,0.277,0.0,0.389,0.034,0.017,0.285,12751.539,0.0,0.049,0.0,0.0,0.0
sempachersee_sempach_tampec,0.306,0.0,0.03,0.013,0.028,0.664,12394.063,0.0,0.0,0.0,0.0,0.0
sentiero-giro-del-golf-spiaggia,0.403,0.106,0.0,0.044,0.219,0.447,2707.095,0.044,0.0,0.0,0.0,0.0
signalpain,0.763,0.079,0.109,0.067,0.066,0.064,13999.387,0.0,0.0,0.0,0.0,0.0
spiaggia-parco-ciani,0.977,0.0,0.0,0.079,0.011,0.0,21362.667,0.0,0.0,0.023,0.0,0.0
strandbeiz,0.687,0.081,0.0,0.059,0.067,0.188,4592.169,0.0,0.0,0.0,0.044,0.0
strandboden-biel,0.604,0.0,0.284,0.044,0.031,0.067,14743.824,0.0,0.0,0.045,0.0,0.0
sundbach-strand,0.159,0.0,0.537,0.007,0.005,0.245,6255.414,0.0,0.059,0.0,0.0,0.0
thun-strandbad,1.0,0.0,0.0,0.055,0.034,0.0,12053.033,0.0,0.0,0.0,0.0,0.0
thunersee_spiez_meierd_1,0.3,0.0,0.213,0.003,0.0,0.486,6005.558,0.0,0.0,0.0,0.0,0.0
tiger-duck-beach,0.924,0.0,0.035,0.359,0.064,0.04,17565.585,0.0,0.0,0.0,0.0,0.0
tolochenaz,0.546,0.0,0.031,0.105,0.036,0.282,13494.232,0.025,0.0,0.0,0.116,0.0
unterdsee_ermatingen_brunkem,0.487,0.015,0.075,0.049,0.007,0.392,10097.036,0.031,0.0,0.0,0.0,0.0
untertenzen,0.239,0.0,0.148,0.003,0.007,0.613,9191.133,0.0,0.0,0.0,0.0,0.0
port-choiseul,0.82,0.0,0.032,0.059,0.023,0.137,9252.457,0.0,0.0,0.0,0.011,0.0
veveyse,0.963,0.0,0.0,0.107,0.015,0.01,14726.733,0.027,0.0,0.0,0.0,0.0
vidy,0.972,0.0,0.027,0.238,0.084,0.0,18652.984,0.0,0.0,0.0,0.0,0.0
vidy-ruines,0.956,0.0,0.026,0.263,0.064,0.018,19703.843,0.0,0.0,0.0,0.0,0.0
vierwaldstattersee_weggis_schoberls_1,0.231,0.0,0.066,0.007,0.006,0.635,3710.462,0.0,0.0,0.0,0.067,0.0
vierwaldstattersee_weggis_schoberls_2,0.233,0.0,0.069,0.008,0.006,0.629,3662.202,0.0,0.0,0.0,0.069,0.0
vierwaldstattersee_weggis_schoberls_3,0.369,0.0,0.092,0.007,0.017,0.539,5388.556,0.0,0.0,0.0,0.0,0.0
villa-barton,0.999,0.0,0.0,0.228,0.023,0.0,14159.596,0.0,0.0,0.001,0.0,0.0
vira-gambarogno,0.281,0.0,0.511,0.004,0.002,0.156,9901.549,0.0,0.052,0.0,0.0,0.0
vira-spiaggia-left-of-river,0.273,0.0,0.522,0.004,0.001,0.154,9941.941,0.0,0.051,0.0,0.0,0.0
walensee_walenstadt_wysse,0.299,0.0,0.341,0.048,0.017,0.36,12782.643,0.0,0.0,0.0,0.0,0.0
weissenau-neuhaus,0.047,0.097,0.271,0.003,0.155,0.55,5280.33,0.0,0.034,0.0,0.0,0.0
wycheley,0.174,0.0,0.355,0.011,0.005,0.426,16310.624,0.0,0.042,0.0,0.0,0.003
zuerichsee_maennedorf_vanderkaadene,0.873,0.0,0.001,0.052,0.002,0.127,8691.525,0.0,0.0,0.0,0.0,0.0
zuerichsee_richterswil_benkoem_2,0.631,0.0,0.13,0.058,0.009,0.239,7589.451,0.0,0.0,0.0,0.0,0.0
zuerichsee_staefa_hennm,0.301,0.0,0.103,0.054,0.004,0.52,6426.668,0.076,0.0,0.0,0.0,0.0
zuerichsee_waedenswil_colomboc_1,0.603,0.0,0.11,0.084,0.007,0.264,6975.001,0.0,0.0,0.0,0.023,0.0
zuerichsee_zurich_kullg,0.979,0.0,0.021,0.154,0.04,0.0,15722.765,0.0,0.0,0.0,0.0,0.0
zugersee_immensee_guedesd,0.069,0.0,0.558,0.015,0.001,0.278,4496.006,0.0,0.0,0.0,0.094,0.0
zugerseecholler_cham_blarerm,0.622,0.054,0.0,0.053,0.021,0.324,11133.693,0.0,0.0,0.0,0.0,0.0
zurcher-strand,0.826,0.0,0.0,0.122,0.026,0.011,33825.422,0.0,0.0,0.164,0.0,0.0
zurichsee-feldeggstr-banningersand,0.897,0.0,0.002,0.143,0.034,0.0,24297.091,0.0,0.0,0.101,0.0,0.0
zurichsee_kusnachterhorn_thirkell-whitej,0.91,0.0,0.056,0.025,0.007,0.033,8771.96,0.0,0.0,0.0,0.0,0.0
zurichsee_wollishofen_langendorfm,0.827,0.0,0.002,0.1,0.043,0.171,17206.78,0.0,0.0,0.0,0.0,0.0
aare-limmatspitz,0.345,0.0,0.254,0.027,0.001,0.401,11102.571,0.0,0.0,0.0,0.0,0.0
aare-port,0.463,0.0,0.33,0.05,0.006,0.206,18179.238,0.0,0.0,0.0,0.0,0.0
aare-solothurn-lido-strand,0.291,0.0,0.264,0.026,0.024,0.443,17149.817,0.0,0.0,0.002,0.0,0.0
aare_bern_caveltin,0.477,0.011,0.164,0.038,0.003,0.359,19835.485,0.0,0.0,0.0,0.0,0.0
aare_bern_gerberm,0.453,0.0,0.144,0.112,0.0,0.403,14854.345,0.0,0.0,0.0,0.0,0.0
aare_bern_scheurerk,0.587,0.0,0.217,0.202,0.011,0.196,17372.839,0.0,0.0,0.0,0.0,0.0
aare_brugg_buchie,0.468,0.0,0.224,0.035,0.009,0.308,12634.629,0.0,0.0,0.0,0.0,0.0
aare_elfenau_cataldiv,0.633,0.003,0.206,0.045,0.033,0.16,23767.5,0.0,0.0,0.0,0.0,0.0
aare_kehrsatz_stolten,0.397,0.011,0.102,0.021,0.011,0.502,19391.251,0.0,0.0,0.0,0.0,0.0
aare_koniz_hoppej,0.744,0.0,0.152,0.058,0.048,0.087,26191.814,0.0,0.0,0.017,0.0,0.0
aare_post,0.454,0.0,0.333,0.052,0.004,0.213,18868.74,0.0,0.0,0.0,0.0,0.0
aare_rupperswil_badert,0.123,0.0,0.599,0.019,0.001,0.275,10067.027,0.003,0.0,0.0,0.0,0.0
aare_solothurn_nguyena,0.322,0.0,0.257,0.032,0.024,0.405,18490.661,0.0,0.0,0.015,0.0,0.0
aare_suhrespitz_badert,0.594,0.0,0.132,0.029,0.014,0.274,16534.774,0.0,0.0,0.0,0.0,0.0
aarezufluss_bern_scheurerk,0.585,0.0,0.215,0.203,0.011,0.2,17448.26,0.0,0.0,0.0,0.0,0.0
arve_carouge_battistellak,0.725,0.0,0.083,0.056,0.06,0.192,22234.433,0.0,0.0,0.0,0.0,0.0
beich,0.035,0.0,0.212,0.002,0.0,0.753,7252.664,0.0,0.0,0.0,0.0,0.0
bern-fahrstrasse,0.474,0.0,0.319,0.197,0.01,0.208,12334.973,0.0,0.0,0.0,0.0,0.0
bern-tiergarten,0.726,0.0,0.173,0.061,0.048,0.094,26507.645,0.0,0.0,0.006,0.0,0.0
birs_basel_grunern,0.822,0.0,0.075,0.081,0.035,0.103,26770.299,0.0,0.0,0.0,0.0,0.0
birs_basel_laderachs,0.785,0.0,0.099,0.099,0.06,0.116,24112.241,0.0,0.0,0.0,0.0,0.0
birs_reinach_dinuccin,0.767,0.0,0.212,0.036,0.03,0.021,17115.164,0.0,0.0,0.0,0.0,0.0
birskopfli-rusco,0.909,0.0,0.0,0.116,0.035,0.072,29156.747,0.0,0.0,0.019,0.0,0.0
brugg-be-buren-bsg-standort,0.412,0.0,0.242,0.036,0.004,0.346,21036.112,0.0,0.0,0.0,0.0,0.0
canale-saleggi,0.494,0.0,0.34,0.044,0.023,0.155,20627.05,0.011,0.0,0.0,0.0,0.0
chriesbach_duebendorf_schneidera,0.787,0.007,0.026,0.038,0.033,0.18,16343.257,0.0,0.0,0.0,0.0,0.0
emme_biberist_jennim,0.46,0.0,0.25,0.025,0.001,0.286,7550.84,0.0,0.0,0.0,0.004,0.0
emme_utzenstorf_gruttert,0.325,0.0,0.215,0.012,0.0,0.46,11625.026,0.0,0.0,0.0,0.0,0.0
foce-del-cassarate,0.977,0.0,0.0,0.078,0.012,0.0,20458.556,0.0,0.0,0.023,0.0,0.0
glatt_oerlikon_covosn,0.837,0.0,0.01,0.081,0.021,0.152,20537.973,0.0,0.0,0.0,0.0,0.0
goldach_goldach_schlachterj,0.411,0.005,0.135,0.046,0.011,0.375,17750.318,0.0,0.0,0.0,0.074,0.0
golene-gudo,0.09,0.003,0.301,0.047,0.005,0.552,8809.412,0.057,0.0,0.0,0.0,0.0
grendelbach_effretikon_dambonec,0.39,0.0,0.268,0.031,0.011,0.342,14082.512,0.0,0.0,0.0,0.0,0.0
jona-river-rastplatz,0.659,0.096,0.0,0.058,0.062,0.202,4643.34,0.0,0.0,0.0,0.042,0.0
jona_tann_nusslin,0.448,0.0,0.118,0.021,0.0,0.396,11446.056,0.0,0.0,0.0,0.038,0.0
kusnachter-dorfbach-tobelweg-1-4,0.71,0.0,0.17,0.024,0.005,0.12,13068.49,0.0,0.0,0.0,0.0,0.0
la-thiele_le-mujon_confluence,0.595,0.0,0.0,0.051,0.003,0.405,20858.399,0.0,0.0,0.0,0.0,0.0
langete_langenthal_geiserm,0.595,0.0,0.192,0.037,0.008,0.213,14566.079,0.0,0.0,0.0,0.0,0.0
lavey-la-source,0.182,0.0,0.492,0.142,0.006,0.222,21586.098,0.0,0.104,0.0,0.0,0.0
lavey-les-bains,0.303,0.0,0.302,0.149,0.002,0.278,19657.408,0.0,0.117,0.0,0.0,0.0
lavey-les-bains-2,0.342,0.0,0.256,0.15,0.006,0.292,19709.512,0.0,0.11,0.0,0.0,0.0
les-glariers,0.139,0.0,0.07,0.442,0.003,0.06,18414.91,0.369,0.125,0.0,0.225,0.013
les-vieux-ronquoz,0.621,0.0,0.137,0.117,0.015,0.131,27484.089,0.013,0.002,0.0,0.096,0.0
leuk-mattenstrasse,0.145,0.0,0.391,0.142,0.007,0.285,19650.867,0.11,0.068,0.0,0.0,0.0
limmat_dietikon_keiserp,0.631,0.0,0.101,0.038,0.049,0.266,17010.635,0.001,0.0,0.0,0.0,0.0
limmat_unterengstringen_oggierbuhrer,0.584,0.0,0.082,0.068,0.007,0.314,15401.898,0.02,0.0,0.0,0.0,0.0
limmat_zuerich_jansena,0.832,0.0,0.03,0.131,0.043,0.127,22004.71,0.0,0.0,0.0,0.012,0.0
limmat_zuerich_suterdglauserp,0.849,0.0,0.126,0.08,0.021,0.025,24262.667,0.0,0.0,0.0,0.0,0.0
limmat_zuerich_wagnerc,0.752,0.0,0.071,0.13,0.03,0.165,18227.904,0.0,0.0,0.0,0.012,0.0
limmat_zurich_mortensena_meiera,0.827,0.0,0.037,0.128,0.042,0.124,22024.868,0.0,0.0,0.0,0.012,0.0
linth_mollis,0.158,0.0,0.244,0.007,0.012,0.593,14923.224,0.0,0.005,0.0,0.0,0.0
linth_route9brucke,0.177,0.0,0.481,0.011,0.026,0.332,14542.743,0.0,0.01,0.0,0.0,0.0
linthdammweg,0.144,0.0,0.232,0.006,0.007,0.624,14705.216,0.0,0.0,0.0,0.0,0.0
lorze_baar_blarere,0.33,0.0,0.31,0.047,0.009,0.296,13696.353,0.0,0.0,0.0,0.064,0.0
murg_waengi_strickerr,0.283,0.0,0.014,0.008,0.004,0.703,11607.521,0.0,0.0,0.0,0.0,0.0
oberi-chlihochstetten,0.155,0.043,0.184,0.028,0.003,0.587,12631.463,0.0,0.0,0.0,0.0,0.031
ognonnaz-1,0.838,0.0,0.0,0.074,0.013,0.113,16940.148,0.049,0.0,0.0,0.0,0.0
pfaffner_rothrist_ischik,0.371,0.0,0.233,0.011,0.006,0.396,12298.134,0.0,0.0,0.0,0.0,0.0
pont-sous-terre,0.813,0.0,0.035,0.171,0.009,0.057,28593.65,0.0,0.0,0.095,0.0,0.0
reuss,0.136,0.025,0.29,0.035,0.0,0.558,5264.213,0.0,0.0,0.0,0.0,0.0
reuss_hunenberg_eberhardy,0.076,0.245,0.017,0.002,0.001,0.665,9175.042,0.0,0.0,0.0,0.0,0.0
reuss_ottenbach_schoenenbergerl,0.17,0.149,0.0,0.004,0.002,0.681,7930.434,0.0,0.0,0.0,0.0,0.0
reuss_stkarli_linigersimhofy,0.567,0.0,0.169,0.089,0.007,0.24,21745.612,0.0,0.0,0.024,0.0,0.0
rhein-beach-tinguely,0.871,0.0,0.0,0.117,0.021,0.06,30297.787,0.0,0.0,0.069,0.0,0.0
rhein_basel,0.76,0.0,0.0,0.113,0.005,0.013,36626.116,0.0,0.0,0.227,0.0,0.0
rhein_basel_hungerbuehlern,0.861,0.0,0.0,0.116,0.017,0.045,31451.037,0.0,0.0,0.094,0.0,0.0
rhein_domatems_foppa_f,0.247,0.0,0.381,0.019,0.066,0.37,12611.61,0.0,0.001,0.0,0.0,0.0
rhein_eglisau_gomringerp,0.233,0.0,0.226,0.047,0.0,0.518,8956.947,0.024,0.0,0.0,0.0,0.0
rhein_hemishofen_stolll,0.067,0.0,0.197,0.023,0.0,0.719,14846.405,0.018,0.0,0.0,0.0,0.0
route-13,0.775,0.0,0.051,0.059,0.055,0.153,22783.979,0.022,0.0,0.0,0.0,0.0
schusspark-strand,0.779,0.0,0.176,0.064,0.039,0.038,18371.928,0.0,0.006,0.001,0.0,0.0
schutzenmatte,0.403,0.0,0.275,0.03,0.004,0.31,16090.722,0.0,0.012,0.0,0.0,0.0
seez,0.296,0.0,0.314,0.069,0.016,0.389,12437.296,0.0,0.001,0.0,0.0,0.0
seez_spennwiesenbrucke,0.229,0.0,0.24,0.16,0.012,0.519,16110.741,0.0,0.011,0.0,0.0,0.0
sense_torishaus_g-cubes,0.121,0.0,0.266,0.009,0.0,0.605,12134.578,0.0,0.008,0.0,0.0,0.0
sihl_adliswil_oggi_fort,0.681,0.0,0.153,0.04,0.01,0.166,13509.385,0.0,0.0,0.0,0.0,0.0
sihl_leimbach_kruegerm,0.551,0.0,0.254,0.045,0.003,0.194,11384.773,0.0,0.0,0.0,0.0,0.0
sihl_menzingen_kucharska_magdalena,0.005,0.051,0.139,0.001,0.022,0.768,6524.552,0.0,0.0,0.0,0.037,0.0
sihl_zuerich_eggerskoehlingera,0.884,0.0,0.003,0.116,0.007,0.0,37577.299,0.0,0.0,0.113,0.0,0.0
sihl_zuerich_eichenbergerd,0.373,0.0,0.374,0.05,0.002,0.245,16188.237,0.0,0.0,0.0,0.0,0.008
sihl_zuerich_scherfs,0.859,0.0,0.0,0.119,0.012,0.0,42341.608,0.0,0.0,0.141,0.0,0.0
sihl_zurich_himmelhebern,0.441,0.0,0.311,0.055,0.017,0.243,19266.816,0.0,0.0,0.0,0.0,0.005
sitter_gaiserwald_buehlerf,0.363,0.0,0.207,0.064,0.006,0.338,14920.628,0.0,0.0,0.0,0.065,0.028
sitter_stgallen_jennya,0.513,0.0,0.121,0.042,0.032,0.363,16704.914,0.0,0.0,0.0,0.003,0.0
sitter_stgallen_steinbrunnerf,0.406,0.0,0.35,0.075,0.004,0.208,14083.633,0.0,0.0,0.006,0.001,0.03
sorne_birse_wwfjura,0.432,0.0,0.161,0.015,0.0,0.407,12836.47,0.0,0.0,0.0,0.0,0.0
spackmatt,0.396,0.0,0.246,0.024,0.06,0.359,16321.658,0.0,0.0,0.0,0.0,0.0
thur_schwarzenbach_meiliw,0.349,0.0,0.099,0.018,0.0,0.541,14806.523,0.0,0.0,0.0,0.011,0.0
toss_bauma_kurthe,0.209,0.0,0.388,0.007,0.0,0.402,8488.281,0.0,0.0,0.0,0.0,0.0
toss_kollbrunn_burgid,0.205,0.007,0.446,0.003,0.001,0.348,8816.612,0.0,0.0,0.0,0.0,0.0
toss_winterthur-2,0.323,0.0,0.558,0.021,0.019,0.119,21762.31,0.0,0.0,0.0,0.0,0.0
tschilljus,0.137,0.0,0.422,0.235,0.014,0.137,12581.778,0.27,0.002,0.0,0.0,0.028
urnaesch_urnaesch_meierr,0.074,0.0,0.199,0.002,0.0,0.727,13778.192,0.0,0.0,0.0,0.0,0.0
via-brunari-spiaggia,0.462,0.0,0.367,0.043,0.023,0.162,19550.078,0.009,0.0,0.0,0.0,0.0
via-mirasole-spiaggia,0.516,0.0,0.33,0.045,0.024,0.144,20912.391,0.011,0.0,0.0,0.0,0.0
vorderrhein_disentis_schmidn,0.169,0.0,0.458,0.019,0.009,0.322,16782.652,0.0,0.049,0.0,0.0,0.002
zulg_steffisburg_schmassmanne,0.779,0.0,0.058,0.031,0.002,0.163,17152.428,0.0,0.0,0.0,0.0,0.0
